repo,is_archived,is_fork,created_at,pushed_at,repo_age_days,days_since_last_commit,commit_count,bug_commits,total_issues,open_issues,closed_issues,bug_issues,open_bug_issues,closed_bug_issues,avg_bug_days_open,avg_issue_days_open,median_issue_days_open,pull_requests,open_prs,merged_prs,languages,topics,discussion_count,discussion_titles,has_CI,ci_files,has_tests,test_files,stars,forks,watchers,error
heyaranzheng/big-world,False,False,2025-11-12T13:01:44Z,2025-11-15T15:26:31Z,7,4,4,0,0,0,0,0,0,0,,,,0,0,0,Rust(1539),,0,,False,,False,,1,0,0,
jennillo/AstroComp-Journal,False,False,2025-03-28T13:22:06Z,2025-11-19T04:09:44Z,236,0,28,0,0,0,0,0,0,0,,,,0,0,0,C++(3795),,0,,False,,False,,0,0,1,
sonikabagchi/CMB,False,False,2021-06-18T13:29:56Z,2021-06-18T13:32:50Z,1615,1615,2,,0,0,0,,,,,,,0,0,0,Jupyter Notebook(2753855),,0,,False,,,,0,0,1,Failed to fetch tree
Sooryajithks/Masters-Thesis,False,False,2025-07-31T07:24:45Z,2025-07-31T07:38:02Z,111,111,2,,0,0,0,,,,,,,0,0,0,,,0,,False,,,,0,0,0,Failed to fetch tree
SoorajMP/AstrophysicsCalculator,False,False,2024-02-20T10:32:09Z,2024-02-20T17:56:01Z,638,638,4,,0,0,0,,,,,,,0,0,0,,,0,,False,,,,0,1,1,Failed to fetch tree
sophiamiskiewicz/Optimize-Grav-Pt-Lenses,False,False,2024-12-13T16:52:55Z,2024-12-14T03:13:02Z,341,340,5,,0,0,0,,,,,,,0,0,0,Python(8449),,0,,False,,,,0,0,1,Failed to fetch tree
SouvaitzisLazaros/Astrophysics-M.Sc-Course,False,False,2020-03-11T16:48:32Z,2020-03-11T17:21:28Z,2079,2079,2,,0,0,0,,,,,,,0,0,0,Jupyter Notebook(4985046),,0,,False,,,,1,0,1,Failed to fetch tree
spyphyz/curve_fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
spyphyz/astrophysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
space-doc/Astrophysics-Habitable-Zones,False,False,2024-11-27T01:15:12Z,2024-12-26T02:21:04Z,357,328,10,,0,0,0,,,,,,,0,0,0,Jupyter Notebook(51447),,0,,False,,,,0,0,1,Failed to fetch tree
SPAS-2000/Astrophysics-for-Amateurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
spyphyz/sdss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
SriKarthi7227/AstroPhysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
statisticalwork/Astrophysics-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
starquino/IntroRadio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
stephenslater/Astrophysics-Research-Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
stepnas/PhD-Astrophysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
Starvexx/My_nasa_ads_query_wp_plugin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/astrophysics-lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/aitoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/cosmology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/interstellar-dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/molecular-column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/column-PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
steviecurran/star-spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
study-astrophysics/study-astrophysics.github.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
suafle/obs_astrophysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
sudb92/Azure2ProcessorScripts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
sudarshan-s-harithas/Introduction-to-Gravitational-Waves-and-Detection-Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
SumitPathaniaPB35/AstroPhysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
svargasro/final-project-computational-astrophysics-neural-networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
sup3rconductor/ASTROPHYSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
