repo,is_archived,is_fork,created_at,pushed_at,repo_age_days,days_since_last_commit,commit_count,bug_commits,total_issues,open_issues,closed_issues,bug_issues,open_bug_issues,closed_bug_issues,avg_bug_days_open,avg_issue_days_open,median_issue_days_open,pull_requests,open_prs,merged_prs,languages,topics,discussion_count,discussion_titles,has_CI,ci_files,has_tests,test_files,stars,forks,watchers,error
addddisonnnn/Validating-Chronic-Inflammation-Biomarkers-via-Integrated-Bioinformatics-ML-Paper,False,False,2025-10-10T01:41:00Z,2025-11-18T04:42:36Z,40,1,12,1,0,0,0,0,0,0,,,,0,0,0,Shell(2775),,0,,False,,False,,0,1,0,
anjalishankar3/Research_Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
Anjalivasudevan/FASTA-Sequence-Downloader-from-UniProt-Python-Script-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
anjelieca/Leaf-Disease-Object-Detection-Using-YOLOV11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
AnkaraUniFedaisi/bioinformatics_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
ankeetkumar/Bioinformatics_Battle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
ankeetkumar/Bioinformatics-for-Biologists-Analysing-and-Interpreting-Genomics-Datasets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
Ankit-Paul-21/pevzner-bioinfo-solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
AnkitPrajapati09/MSC-I-BIOINFORMATICS-521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
Ankur007ops/Aganitha-BioInformatics-Quiz-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
anlinfeng/bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
Anlinli/luster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
Ann0404/Bioinformatics-internship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
Ann0404/Bioinformatics_portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annabellej/cs466_hirschberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annabmv/WBDSLA-project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annacprice/kraken-fastedit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
annacprice/ena-fastq-fetch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'type': 'RATE_LIMIT', 'code': 'graphql_rate_limit', 'message': 'API rate limit already exceeded for user ID 94713257.'}]"
