repo,doi,pmid,grant_funded,funding_sources,num_linked_grants,num_developer_grants,num_collaborator_grants,developer_project_nums,developer_core_nums,developer_orgs,developer_org_states,developer_agencies,developer_cost_by_currency,developer_cost_usd,all_org_names,all_agencies,total_cost_by_currency,total_cost_usd,earliest_project_start,latest_project_end,note
3dcitydb/3dcitydb,10.1186/s40965-018-0046-7,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
3DTune-In/3dti_AudioToolkit,10.1371/journal.pone.0211899,30856198,True,Other,2,2,0,644051; Horizon 2020,,,,Other,EUR:2896175,,,Other,EUR:2896175,,2015-05-01 00:00:00,2018-04-30 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
4paradigm/OpenMLDB,10.1145/3722212.3724446,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
a16z/jolt,10.1007/978-3-031-58751-1_1,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
Aalto-CFD/DLBFoam,10.1016/j.cpc.2021.108073,,True,Other,1,1,0,318024,,,,Other,,,,Other,,,,,OK
abel-research/ampscan,10.21105/joss.02060,,True,Other,5,1,4,EP/M000303/1,,,,Other,GBP:142773,,,Other,GBP:6479423,,2014-06-22 00:00:00,2021-11-30 00:00:00,OK
adevaucorbeil/karamelo,10.1007/s40571-020-00369-8,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
AdrienGuille/SONDY,10.1145/2463676.2463694,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ADVRHumanoids/OpenSoT,10.1109/MRA.2024.3487395,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
agilelion/Open-Kanban,10.15439/2016F509,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
agiresearch/OpenP5,10.1145/3626772.3657883,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
AICAN-Research/FAST-Pathology,10.1109/ACCESS.2021.3072231,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
aidanbudd/bosc2015,10.1371/journal.pcbi.1003972,25654371,True,NIH; Other,7,0,7,,,,,,,,"UNIVERSITY OF CAPE TOWN; JOHNS HOPKINS UNIVERSITY; PENNSYLVANIA STATE UNIVERSITY, THE; EMORY UNIVERSITY",NHGRI; Other,GBP:4389648; USD:4307166,4307166.0,2009-07-01T00:00:00,2027-01-31T00:00:00,OK
AIM-Harvard/pyradiomics,10.1158/0008-5472.CAN-17-0339,29092951,True,NIH,3,1,2,5U01CA190234-05,U01CA190234,DANA-FARBER CANCER INST,MA,NCI,USD:435367,435367.0,DANA-FARBER CANCER INST; BRIGHAM AND WOMEN'S HOSPITAL,NCI; NIBIB,USD:1954109,1954109.0,1998-09-30T00:00:00,2024-06-30T00:00:00,OK
aim-uofa/AdelaiDet,10.1109/TPAMI.2021.3107437,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
aiqm/torchani,10.1021/acs.jcim.5c01853,41105703,True,Other,1,0,1,,,,,,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
ajithabhks/sigmt,10.1016/j.cageo.2022.105270,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
alice-sieve/Open-Source,10.1186/s13174-017-0069-9,,True,Other,2,0,2,,,,,,,,University of Limerick (UL),Other,EUR:29440010,,2015-01-01 00:00:00,2023-12-31 00:00:00,OK
Alpha-VLLM/LLaMA2-Accessory,10.1007/978-3-031-73033-7_3,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
AMRC-FactoryPlus/amrc-connectivity-stack,10.1109/IOTSMS62296.2024.10710186,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
andrewboutros/rad-flow,10.1109/ACCESS.2022.3204664,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
andrewlyden/PyPSA-GB,10.1016/j.esr.2024.101375,,True,Other,1,0,1,,,,,,,,,Other,GBP:1445832,,2020-09-30 00:00:00,2024-09-29 00:00:00,OK
aneoconsulting/ArmoniK,10.1109/Cloud-Summit64795.2025.00014,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
Entanglion/entanglion,10.1145/3242671.3242696,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
epigenelabs/inmoose,10.1038/s41598-025-03376-y,40413334,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
ertis-research/opentwins,10.1002/spe.3322,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
ESA-PhiLab/PyRawS,10.1109/JSTARS.2024.3418891,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
esdalmaijer/PyGaze,10.3758/s13428-013-0422-2,24258321,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
Event-AHU/OpenPAR,10.1109/TIFS.2026.3673132,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
evo-biomech/scAnt,10.7717/peerj.11155,33954036,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
facebookresearch/AudioDec,10.1109/ICASSP49357.2023.10096509,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
facebookresearch/Generic-Grouping,10.1109/CVPR52688.2022.00438,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
facebookresearch/mvdust3r,10.1109/CVPR52734.2025.00498,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
facebookresearch/nonrigid_nerf,10.1109/ICCV48922.2021.01272,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
